"NS" "Trial" "Resp" "Reward" "Transition" "PrReward" "PrTransition" "Stay"
"110" 11 1 -1 1 1 1 1
"110" 12 2 -1 1 -1 1 0
"110" 13 2 -1 -1 -1 1 1
"110" 14 2 -1 1 -1 -1 1
"110" 15 2 -1 -1 -1 1 1
"110" 16 2 1 1 -1 -1 1
"110" 17 2 -1 1 1 1 1
"110" 18 2 1 1 -1 1 1
"110" 19 2 1 1 1 1 1
"110" 20 2 1 -1 1 1 1
"110" 21 2 1 -1 1 -1 1
"110" 22 1 1 1 1 -1 0
"110" 23 1 1 -1 1 1 1
"110" 24 1 -1 1 1 -1 1
"110" 25 1 -1 1 -1 1 1
"110" 26 1 -1 1 -1 1 1
"110" 27 1 1 1 -1 1 1
"110" 28 1 1 1 1 1 1
"110" 29 1 -1 1 1 1 1
"110" 30 1 1 1 -1 1 1
"110" 31 1 -1 1 1 1 1
"110" 32 1 1 -1 -1 1 1
"110" 33 1 1 1 1 -1 1
"110" 34 2 1 1 1 1 0
"110" 35 1 -1 1 1 1 0
"110" 36 1 1 -1 -1 1 1
"110" 37 2 1 1 1 -1 0
"110" 38 1 1 1 1 1 0
"110" 39 1 -1 1 1 1 1
"110" 40 2 -1 -1 -1 1 0
"110" 41 2 1 1 -1 -1 1
"110" 42 2 1 1 1 1 1
"110" 43 2 -1 -1 1 1 1
"110" 45 1 1 -1 1 1 1
"110" 46 1 -1 1 1 -1 1
"110" 47 2 -1 -1 -1 1 0
"110" 48 2 1 1 -1 -1 1
"110" 49 2 -1 -1 1 1 1
"110" 50 2 -1 1 -1 -1 1
"110" 51 1 -1 -1 -1 1 0
"110" 52 1 1 1 -1 -1 1
"110" 53 1 -1 -1 1 1 1
"110" 54 2 -1 1 -1 -1 0
"110" 55 1 -1 1 -1 1 0
"110" 57 1 -1 -1 -1 -1 0
"110" 58 1 1 1 -1 -1 1
"110" 59 1 1 1 1 1 1
"110" 60 1 -1 -1 1 1 1
"110" 61 1 -1 1 -1 -1 1
"110" 62 2 1 -1 -1 1 0
"110" 63 2 1 1 1 -1 1
"110" 64 2 1 1 1 1 1
"110" 65 2 1 1 1 1 1
"110" 66 2 1 -1 1 1 1
"110" 67 2 1 -1 1 -1 1
"110" 68 2 -1 1 1 -1 1
"110" 69 2 -1 -1 -1 1 1
"110" 70 2 1 1 -1 -1 1
"110" 71 2 -1 1 1 1 1
"110" 72 2 -1 1 -1 1 1
"110" 73 2 -1 -1 -1 1 1
"110" 74 2 -1 1 -1 -1 1
"110" 75 2 1 1 -1 1 1
"110" 76 2 -1 1 1 1 1
"110" 77 2 1 1 -1 1 1
"110" 78 2 -1 -1 1 1 1
"110" 79 2 -1 1 -1 -1 1
"110" 80 2 1 1 -1 1 1
"110" 81 2 1 -1 1 1 1
"110" 82 2 1 1 1 -1 1
"110" 83 2 -1 1 1 1 1
"110" 84 2 1 1 -1 1 1
"110" 85 2 -1 1 1 1 1
"110" 86 2 1 -1 -1 1 1
"110" 87 2 1 -1 1 -1 1
"110" 88 2 1 1 1 -1 1
"110" 89 2 1 1 1 1 1
"110" 90 2 -1 -1 1 1 1
"110" 91 2 1 -1 -1 -1 1
"110" 92 2 -1 1 1 -1 1
"110" 93 2 1 -1 -1 1 1
"110" 94 2 -1 -1 1 -1 1
"110" 95 2 1 1 -1 -1 1
"110" 96 2 -1 1 1 1 1
"110" 97 2 1 1 -1 1 1
"110" 98 1 1 1 1 1 0
"110" 99 1 -1 -1 1 1 1
"110" 100 1 -1 1 -1 -1 1
"110" 101 1 1 -1 -1 1 1
"110" 102 1 -1 1 1 -1 1
"110" 103 1 -1 1 -1 1 1
"110" 104 2 -1 -1 -1 1 0
"110" 105 2 1 1 -1 -1 1
"110" 106 1 1 1 1 1 0
"110" 107 2 -1 -1 1 1 0
"110" 108 2 1 1 -1 -1 1
"110" 109 2 1 -1 1 1 1
"110" 110 1 1 1 1 -1 0
"110" 111 1 1 -1 1 1 1
"110" 112 1 1 -1 1 -1 1
"110" 113 2 -1 1 1 -1 0
"110" 114 1 -1 1 -1 1 0
"110" 115 2 -1 1 -1 1 0
"110" 116 2 -1 -1 -1 1 1
"110" 118 2 -1 1 -1 1 1
"110" 119 2 -1 1 -1 1 1
"110" 121 2 1 1 1 1 0
"110" 122 1 -1 -1 1 1 0
"110" 123 1 -1 -1 -1 -1 1
"110" 125 1 1 1 1 1 1
"110" 126 1 -1 1 1 1 1
"110" 127 2 -1 -1 -1 1 0
"110" 129 2 1 1 -1 1 1
"110" 130 2 1 1 1 1 1
"110" 131 2 1 -1 1 1 1
"110" 132 2 -1 1 1 -1 1
"110" 133 2 -1 1 -1 1 1
"110" 134 2 1 1 -1 1 1
"110" 135 1 -1 1 1 1 0
"110" 136 2 -1 1 -1 1 0
"110" 137 1 -1 1 -1 1 0
"110" 138 2 -1 1 -1 1 0
"110" 139 1 -1 -1 -1 1 0
"110" 140 1 1 1 -1 -1 1
"110" 141 1 -1 -1 1 1 1
"110" 142 1 -1 1 -1 -1 1
"110" 143 2 1 -1 -1 1 0
"110" 144 2 1 -1 1 -1 1
"110" 145 1 -1 1 1 -1 0
"110" 146 1 1 1 -1 1 1
"110" 147 1 -1 1 1 1 1
"110" 149 1 -1 -1 -1 1 1
