"NS" "Trial" "Step" "Choice1" "Choice2" "Resp1" "Resp2" "Reward" "RT1" "RT2"
"110" 1 "step_1_no_load" 1 2 1 NA NA 984 NA
"110" 1 "step_2_no_load" 3 4 0.594299910136 3 1 0.457620150462 784
"111" 1 "step_1_no_load" 1 2 1 NA NA 866 NA
"111" 1 "step_2_no_load" 3 4 0.511789129507 3 1 0.598297890399 787
"114" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"116" 1 "step_1_no_load" 1 2 1 NA NA 1075 NA
"116" 1 "step_2_no_load" 3 4 0.594299910136 4 1 0.598297890399 860
"117" 1 "step_1_no_load" 1 2 2 NA NA 1013 NA
"117" 1 "step_2_no_load" 3 4 0.594299910136 4 0 0.511789129507 1141
"119" 1 "step_1_no_load" 1 2 1 NA NA 936 NA
"119" 1 "step_2_no_load" 3 4 0.594299910136 4 1 0.511789129507 842
"120" 1 "step_1_no_load" 1 2 1 NA NA 1051 NA
"120" 1 "step_2_no_load" 5 6 0.457620150462 5 0 0.598297890399 1135
"121" 1 "step_1_no_load" 1 2 1 NA NA 536 NA
"121" 1 "step_2_no_load" 3 4 0.598297890399 4 1 0.457620150462 748
"122" 1 "step_1_no_load" 1 2 1 NA NA 1029 NA
"122" 1 "step_2_no_load" 5 6 0.594299910136 6 0 0.457620150462 782
"124" 1 "step_1_no_load" 1 2 1 NA NA 1301 NA
"124" 1 "step_2_no_load" 5 6 0.598297890399 5 0 0.594299910136 1209
"126" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"127" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"128" 1 "step_1_no_load" 1 2 1 NA NA 1133 NA
"128" 1 "step_2_no_load" 3 4 0.594299910136 4 1 0.511789129507 701
"129" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"130" 1 "step_1_no_load" 1 2 -1 NA NA -1 NA
"134" 1 "step_1_no_load" 1 2 1 NA NA 886 NA
"134" 1 "step_2_no_load" 3 4 0.457620150462 3 0 0.594299910136 892
"135" 1 "step_1_no_load" 1 2 1 NA NA 436 NA
