"subjID"	"Trial"	"Stage1"	"Stage2"	"Stay"	"RT"	"PrSSReward"	"transition"	"PrReward"	"PrTransition"
110	1	1	-1	NA	984	NA	1	NA	NA
110	1	-1	1	NA	784	NA	1	NA	NA
110	2	1	-1	1	811	1	1	1	1
110	2	-1	1	1	594	1	1	1	1
110	3	1	-1	1	425	1	1	1	1
110	3	-1	1	0	413	1	1	1	1
110	4	1	-1	1	829	1	1	1	1
110	4	-1	1	0	716	1	1	1	1
110	5	1	-1	1	428	-1	1	-1	1
110	5	-1	1	1	316	-1	1	-1	1
110	6	1	-1	1	371	NA	-1	1	1
110	6	-1	1	0	1037	NA	-1	1	1
110	7	1	-1	1	774	1	-1	1	-1
110	7	-1	1	1	1020	1	-1	1	-1
110	8	1	-1	1	592	1	1	-1	-1
110	8	-1	1	1	980	1	1	-1	-1
110	9	1	-1	1	305	1	1	1	1
110	9	-1	1	1	476	1	1	1	1
110	10	1	-1	1	383	1	1	1	1
110	10	-1	1	0	462	1	1	1	1
110	11	1	-1	1	308	1	1	1	1
110	11	-1	1	1	530	1	1	1	1
110	12	1	-1	0	293	-1	1	-1	1
110	12	-1	1	0	466	-1	1	-1	1
110	13	1	-1	1	336	-1	-1	-1	1
110	13	-1	1	0	309	-1	-1	-1	1
110	14	1	-1	1	300	-1	1	-1	-1
110	14	-1	1	1	595	-1	1	-1	-1
110	15	1	-1	1	345	-1	-1	-1	1
110	15	-1	1	0	106	-1	-1	-1	1
110	16	1	-1	1	622	-1	1	-1	-1
110	16	-1	1	1	482	-1	1	-1	-1
110	17	1	-1	1	710	1	1	1	1
110	17	-1	1	1	572	1	1	1	1
110	18	1	-1	1	668	-1	1	-1	1
110	18	-1	1	0	380	-1	1	-1	1
110	19	1	-1	1	360	1	1	1	1
110	19	-1	1	0	439	1	1	1	1
110	20	1	-1	1	514	-1	-1	1	1
110	20	-1	1	0	237	-1	-1	1	1
110	21	1	-1	1	337	1	-1	1	-1
110	21	-1	1	1	613	1	-1	1	-1
110	22	1	-1	0	279	1	1	1	-1
110	22	-1	1	1	777	1	1	1	-1
110	23	1	-1	1	331	1	-1	1	1
110	23	-1	1	0	471	1	-1	1	1
110	24	1	-1	1	363	1	1	1	-1
110	24	-1	1	0	668	1	1	1	-1
110	25	1	-1	1	469	-1	1	-1	1
110	25	-1	1	0	962	-1	1	-1	1
110	26	1	-1	1	876	-1	1	-1	1
110	26	-1	1	1	434	-1	1	-1	1
110	27	1	-1	1	1205	-1	1	-1	1
110	27	-1	1	1	650	-1	1	-1	1
110	28	1	-1	1	523	1	1	1	1
110	28	-1	1	1	595	1	1	1	1
110	29	1	-1	1	358	1	1	1	1
110	29	-1	1	0	581	1	1	1	1
110	30	1	-1	1	501	-1	1	-1	1
110	30	-1	1	1	493	-1	1	-1	1
110	31	1	-1	1	1241	1	1	1	1
110	31	-1	1	1	1309	1	1	1	1
110	32	1	-1	1	387	1	-1	-1	1
110	32	-1	1	1	864	1	-1	-1	1
110	33	1	-1	1	496	-1	1	1	-1
110	33	-1	1	1	92	-1	1	1	-1
110	34	1	-1	0	306	1	1	1	1
110	34	-1	1	0	1248	1	1	1	1
110	35	1	-1	0	614	1	1	1	1
110	35	-1	1	1	409	1	1	1	1
110	36	1	-1	1	357	1	-1	-1	1
110	36	-1	1	1	465	1	-1	-1	1
110	37	1	-1	0	401	1	1	1	-1
110	37	-1	1	1	395	1	1	1	-1
110	38	1	-1	0	434	-1	1	1	1
110	38	-1	1	1	534	-1	1	1	1
110	39	1	-1	1	406	1	1	1	1
110	39	-1	1	1	83	1	1	1	1
110	40	1	-1	0	322	-1	-1	-1	1
110	40	-1	1	1	380	-1	-1	-1	1
110	41	1	-1	1	11	1	1	-1	-1
110	41	-1	1	0	486	1	1	-1	-1
110	42	1	-1	1	341	1	1	1	1
